Account{name=oportunidad-generar-core-v2, path=C:/Users/aortega/Documents/UiPath/oportunidad-generar-core-v2, type=PREDICT}
Account{name=.settings, path=C:/Users/aortega/Documents/UiPath/oportunidad-generar-core-v2/.settings, type=PREDICT}
Account{name=Getronics, path=C:/Users/aortega/Documents/UiPath/oportunidad-generar-core-v2/Info complementaria/core-from-ppo-uipath-modular-readable-invokecode/Getronics, type=PREDICT}
Account{name=core-from-ppo-uipath-modular-readable-invokecode, path=C:/Users/aortega/Documents/UiPath/oportunidad-generar-core-v2/Info complementaria/core-from-ppo-uipath-modular-readable-invokecode, type=PREDICT}
Account{name=sf-cierre-fase2-develop, path=C:/Users/aortega/Documents/UiPath/oportunidad-generar-core-v2/Info complementaria/sf-cierre-fase2-develop, type=PREDICT}
Account{name=.local, path=C:/Users/aortega/Documents/UiPath/oportunidad-generar-core-v2/.local, type=PREDICT}
Account{name=sf-cierre-fase2-develop, path=C:/Users/aortega/Documents/UiPath/oportunidad-generar-core-v2/Info complementaria/sf-cierre-fase2-develop/sf-cierre-fase2-develop, type=PREDICT}
Account{name=Info complementaria, path=C:/Users/aortega/Documents/UiPath/oportunidad-generar-core-v2/Info complementaria, type=PREDICT}
Account{name=sf-cierre-fase1-develop, path=C:/Users/aortega/Documents/UiPath/oportunidad-generar-core-v2/Info complementaria/sf-cierre-fase1-develop, type=PREDICT}
Account{name=sf-apertura-fase1-feature-initial-import, path=C:/Users/aortega/Documents/UiPath/oportunidad-generar-core-v2/Info complementaria/sf-apertura-fase1-feature-initial-import/sf-apertura-fase1-feature-initial-import, type=PREDICT}
Account{name=sf-apertura-fase1-feature-initial-import, path=C:/Users/aortega/Documents/UiPath/oportunidad-generar-core-v2/Info complementaria/sf-apertura-fase1-feature-initial-import, type=PREDICT}
2026-04-29 11:34:38.397 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.account.AccountManager - [client:40010105]load account manager finish
2026-04-29 11:34:38.397 [pool-3-thread-1] INFO  com.rs.mv.mvvs.instance.userspace.UserspaceManager - [framework:30010402]config file(C:\Users\aortega/.rmv/config) watcher launch successful
2026-04-29 11:52:44.730 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.from.scan.CurrentPathScanner - [client:400205]scan file in current open file directory(C:/Users/aortega/Documents/UiPath/oportunidad-generar-core-v2)
2026-04-29 12:16:24.662 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.from.scan.CurrentPathScanner - [client:400205]scan file in current open file directory(C:/Users/aortega/Documents/UiPath/oportunidad-generar-core-v2)
2026-04-29 12:43:29.985 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.from.scan.CurrentPathScanner - [client:400205]scan file in current open file directory(C:/Users/aortega/Documents/UiPath/oportunidad-generar-core-v2)
2026-04-29 13:15:43.275 [pool-3-thread-1] INFO  com.rs.mv.mvvs.client.catalog.from.scan.CurrentPathScanner - [client:400205]scan file in current open file directory(C:/Users/aortega/Documents/UiPath/oportunidad-generar-core-v2)
2026-04-29 13:40:26.190 [main] INFO  com.rs.mv.mvvs.Startup - [LSP:100101]ROCKET MV BASIC EXTENSION to start
2026-04-29 13:40:26.214 [main] INFO  com.rs.mv.mvvs.lsp.server.BasicLanguageServerLauncher - [LSP:100102]start pip server
